"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"1",0,1,"conj","A1",1e+05,"1","A"
"2",0,1,"conj","M1",1e+07,"1","M"
"3",0,1,"conj","F1",0,"1","F"
"4",0,1,"conj","A2",0,"2","A"
"5",0,1,"conj","M2",0,"2","M"
"6",0,1,"conj","F2",1e+07,"2","F"
"7",0,1,"conj","C",1e+09,"C","C"
"8",0.01,1,"conj","A1",100471.287128713,"1","A"
"9",0.01,1,"conj","M1",10061683.1683168,"1","M"
"10",0.01,1,"conj","F1",0,"1","F"
"11",0.01,1,"conj","A2",0,"2","A"
"12",0.01,1,"conj","M2",0,"2","M"
"13",0.01,1,"conj","F2",10060098.9693069,"2","F"
"14",0.01,1,"conj","C",999877746.534653,"C","C"
"15",0.02,1,"conj","A1",100944.794799785,"1","A"
"16",0.02,1,"conj","M1",10123746.7428262,"1","M"
"17",0.02,1,"conj","F1",0,"1","F"
"18",0.02,1,"conj","A2",0,"2","A"
"19",0.02,1,"conj","M2",0,"2","M"
"20",0.02,1,"conj","F2",10120559.0538168,"2","F"
"21",0.02,1,"conj","C",999754749.326693,"C","C"
"22",0.03,1,"conj","A1",101420.533469298,"1","A"
"23",0.03,1,"conj","M1",10186193.0685888,"1","M"
"24",0.03,1,"conj","F1",0,"1","F"
"25",0.03,1,"conj","A2",0,"2","A"
"26",0.03,1,"conj","M2",0,"2","M"
"27",0.03,1,"conj","F2",10181382.4224454,"2","F"
"28",0.03,1,"conj","C",999631003.851678,"C","C"
"29",0.04,1,"conj","A1",101898.5136425,"1","A"
"30",0.04,1,"conj","M1",10249024.5051097,"1","M"
"31",0.04,1,"conj","F1",0,"1","F"
"32",0.04,1,"conj","A2",0,"2","A"
"33",0.04,1,"conj","M2",0,"2","M"
"34",0.04,1,"conj","F2",10242571.2571238,"2","F"
"35",0.04,1,"conj","C",999506505.557658,"C","C"
"36",0.05,1,"conj","A1",102378.745874034,"1","A"
"37",0.05,1,"conj","M1",10312243.4264275,"1","M"
"38",0.05,1,"conj","F1",0,"1","F"
"39",0.05,1,"conj","A2",0,"2","A"
"40",0.05,1,"conj","M2",0,"2","M"
"41",0.05,1,"conj","F2",10304127.7528767,"2","F"
"42",0.05,1,"conj","C",999381249.865005,"C","C"
"43",0.06,1,"conj","A1",102861.240768167,"1","A"
"44",0.06,1,"conj","M1",10375852.2212032,"1","M"
"45",0.06,1,"conj","F1",0,"1","F"
"46",0.06,1,"conj","A2",0,"2","A"
"47",0.06,1,"conj","M2",0,"2","M"
"48",0.06,1,"conj","F2",10366054.1179007,"2","F"
"49",0.06,1,"conj","C",999255232.166249,"C","C"
