Cycle,Phase,Time,Genotype,Frequency
1,growth,0,Ancestor,0.9900990099009901
1,growth,0,Mutant,0.009900990099009901
1,growth,24,Ancestor,0.9415769295291526
1,growth,24,Mutant,0.05842307047084736
1,growth,24,Ancestor,0.9415769295291526
1,growth,24,Mutant,0.05842307047084737
1,growth,48,Ancestor,0.5563185489566485
1,growth,48,Mutant,0.44368145104335155
1,growth,48,Ancestor,0.5563185489566485
1,growth,48,Mutant,0.44368145104335155
1,growth,72,Ancestor,0.12518949067610538
1,growth,72,Mutant,0.8748105093238947
1,growth,72,Ancestor,0.12518949067610535
1,growth,72,Mutant,0.8748105093238947
1,growth,96,Ancestor,0.01883178543918349
1,growth,96,Mutant,0.9811682145608165
1,growth,96,Ancestor,0.01883178543918349
1,growth,96,Mutant,0.9811682145608165
1,growth,120,Ancestor,0.0026406787260537896
1,growth,120,Mutant,0.9973593212739462
1,growth,120,Ancestor,0.002640678726053789
1,growth,120,Mutant,0.9973593212739462
1,growth,144,Ancestor,3.6658198444640465e-4
1,growth,144,Mutant,0.9996334180155536
1,growth,144,Ancestor,3.6658198444640465e-4
1,growth,144,Mutant,0.9996334180155535
1,growth,168,Ancestor,5.081810240179562e-5
1,growth,168,Mutant,0.9999491818975982
1,conj,168,Ancestor,5.081810240179562e-5
1,conj,168,Mutant,0.9999491818975982
1,conj,173,Ancestor,0.002748454318261142
1,conj,173,Mutant,0.9972515456817388
1,tselect,173,Ancestor,0.002748454318261128
1,tselect,173,Mutant,0.9972515456817388
1,tselect,245,Ancestor,3.455520038003229e-4
1,tselect,245,Mutant,0.9996544479961997
