...1,Time,Cycle,Phase,Cell_types,Density,Host,Genotype,Genotype_plot
1,0,1,growth,A1,10000000,rifR,Ancestor,Ancestor
2,0,1,growth,M1,100000,rifR,Mutant,Mutant
3,0,1,growth,F1,0,rifR,Plasmid-free,Plasmid-free
4,0,1,growth,A2,0,nalR,Ancestor,Ancestor
5,0,1,growth,M2,0,nalR,Mutant,Mutant
6,0,1,growth,F2,0,nalR,Plasmid-free,Plasmid-free
701,1,1,growth,A1,16002615.9279991,rifR,Ancestor,Ancestor
702,1,1,growth,M1,184950.892235741,rifR,Mutant,Mutant
703,1,1,growth,F1,0,rifR,Plasmid-free,Plasmid-free
704,1,1,growth,A2,0,nalR,Ancestor,Ancestor
705,1,1,growth,M2,0,nalR,Mutant,Mutant
706,1,1,growth,F2,0,nalR,Plasmid-free,Plasmid-free
1401,2,1,growth,A1,25607435.5920613,rifR,Ancestor,Ancestor
1402,2,1,growth,M1,342051.984130612,rifR,Mutant,Mutant
1403,2,1,growth,F1,0,rifR,Plasmid-free,Plasmid-free
1404,2,1,growth,A2,0,nalR,Ancestor,Ancestor
1405,2,1,growth,M2,0,nalR,Mutant,Mutant
1406,2,1,growth,F2,0,nalR,Plasmid-free,Plasmid-free
2101,3,1,growth,A1,40974645.4077808,rifR,Ancestor,Ancestor
2102,3,1,growth,M1,632548.495651756,rifR,Mutant,Mutant
2103,3,1,growth,F1,0,rifR,Plasmid-free,Plasmid-free
2104,3,1,growth,A2,0,nalR,Ancestor,Ancestor
2105,3,1,growth,M2,0,nalR,Mutant,Mutant
2106,3,1,growth,F2,0,nalR,Plasmid-free,Plasmid-free
2801,4,1,growth,A1,65557320.6203961,rifR,Ancestor,Ancestor
2802,4,1,growth,M1,1169604.90547009,rifR,Mutant,Mutant
2803,4,1,growth,F1,0,rifR,Plasmid-free,Plasmid-free
2804,4,1,growth,A2,0,nalR,Ancestor,Ancestor
2805,4,1,growth,M2,0,nalR,Mutant,Mutant
2806,4,1,growth,F2,0,nalR,Plasmid-free,Plasmid-free
3501,5,1,growth,A1,104870673.297193,rifR,Ancestor,Ancestor
3502,5,1,growth,M1,2162165.62541355,rifR,Mutant,Mutant
3503,5,1,growth,F1,0,rifR,Plasmid-free,Plasmid-free
3504,5,1,growth,A2,0,nalR,Ancestor,Ancestor
3505,5,1,growth,M2,0,nalR,Mutant,Mutant
3506,5,1,growth,F2,0,nalR,Plasmid-free,Plasmid-free
4201,6,1,growth,A1,167709699.440772,rifR,Ancestor,Ancestor
4202,6,1,growth,M1,3995494.02810357,rifR,Mutant,Mutant
4203,6,1,growth,F1,0,rifR,Plasmid-free,Plasmid-free
4204,6,1,growth,A2,0,nalR,Ancestor,Ancestor
4205,6,1,growth,M2,0,nalR,Mutant,Mutant
4206,6,1,growth,F2,0,nalR,Plasmid-free,Plasmid-free
4901,7,1,growth,A1,268052591.82324,rifR,Ancestor,Ancestor
4902,7,1,growth,M1,7377943.93496606,rifR,Mutant,Mutant
4903,7,1,growth,F1,0,rifR,Plasmid-free,Plasmid-free
4904,7,1,growth,A2,0,nalR,Ancestor,Ancestor
4905,7,1,growth,M2,0,nalR,Mutant,Mutant
4906,7,1,growth,F2,0,nalR,Plasmid-free,Plasmid-free
5601,8,1,growth,A1,427919293.618926,rifR,Ancestor,Ancestor
5602,8,1,growth,M1,13602559.7743964,rifR,Mutant,Mutant
5603,8,1,growth,F1,0,rifR,Plasmid-free,Plasmid-free
5604,8,1,growth,A2,0,nalR,Ancestor,Ancestor
5605,8,1,growth,M2,0,nalR,Mutant,Mutant
5606,8,1,growth,F2,0,nalR,Plasmid-free,Plasmid-free
6301,9,1,growth,A1,680718141.198856,rifR,Ancestor,Ancestor
6302,9,1,growth,M1,24963066.7720902,rifR,Mutant,Mutant
6303,9,1,growth,F1,0,rifR,Plasmid-free,Plasmid-free
6304,9,1,growth,A2,0,nalR,Ancestor,Ancestor
6305,9,1,growth,M2,0,nalR,Mutant,Mutant
6306,9,1,growth,F2,0,nalR,Plasmid-free,Plasmid-free
7001,10,1,growth,A1,970407547.092473,rifR,Ancestor,Ancestor
7002,10,1,growth,M1,39692361.9132538,rifR,Mutant,Mutant
7003,10,1,growth,F1,0,rifR,Plasmid-free,Plasmid-free
7004,10,1,growth,A2,0,nalR,Ancestor,Ancestor
