SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2
pDGs_S.pB10,1,1.5600000000000014e-16,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,2,2.271903624901943e-16,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,3,3.3086833851555043e-16,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,4,4.818596010504882e-16,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,5,7.017554963592356e-16,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,6,1.0220005487008985e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,7,1.4883889431059898e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,8,2.1676129712220946e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,9,3.1567998504512458e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,10,4.597400655980828e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,11,6.695417445800901e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,12,9.750861003427414e-15,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,13,1.4200651576667771e-14,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,14,2.0681097303205752e-14,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,15,3.0118884570578663e-14,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,16,4.3863591688397966e-14,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,17,6.38806749731346e-14,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,18,9.303252373887643e-14,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,19,1.3548777430521106e-13,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,20,1.9731741382942637e-13,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,21,2.8736291521496804e-13,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,22,4.185005440636379e-13,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,23,6.094826301805216e-13,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,24,8.87619100526853e-13,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,25,1.2926827256533114e-12,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,26,1.882596519397351e-12,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,27,2.7417165747734747e-12,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,28,3.992894759411276e-12,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,29,5.81504620369131e-12,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,30,8.468733685345229e-12,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,31,1.2333427409015975e-11,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
pDGs_S.pB10,32,1.796176822949261e-11,0.07599999999999996,48,289639554.99605167,0,536552.0689501895,0
